"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         157,      -6.422156585,      -5.443457991,      -5.985749768,      -4.627181975,      -12.34629114
          0,           0,         158,      -6.420132707,      -5.448052923,      -6.005840541,       -4.62271139,      -12.34147085
          0,           0,         159,      -6.416368841,      -5.452940336,      -6.028750905,      -4.616515932,      -12.33616634
          0,           0,         160,      -6.411682146,      -5.458120089,      -6.054063972,      -4.609566902,      -12.33032748
          0,           0,         161,      -6.407356722,      -5.463591462,       -6.08045341,      -4.603298045,      -12.32390078
          0,           0,         162,      -6.405057216,      -5.469337046,      -6.105167956,      -4.599496452,      -12.31681642
          0,           0,         163,      -6.406688703,      -5.475318707,      -6.124054073,      -4.600156275,      -12.30899435
          0,           0,         164,      -6.414241853,      -5.481481569,      -6.132939023,      -4.607328259,      -12.30034756
          0,           0,         165,      -6.429644606,      -5.487760726,      -6.130328362,      -4.622983692,      -12.29075854
          0,           0,         166,       -6.45458767,      -5.494091299,      -6.119232419,      -4.648855634,       -12.2800839
          0,           0,         167,      -6.490177931,      -5.500423056,      -6.106058103,       -4.68609483,      -12.26814433
          0,           0,         168,      -6.536119545,      -5.506737016,      -6.097915444,      -4.734391834,      -12.25473011
          0,           0,         169,       -6.58911749,      -5.513060223,      -6.100767564,       -4.79015507,      -12.23956942
          0,           0,         170,      -6.641216622,      -5.519475633,      -6.118686093,      -4.844435084,      -12.22235929
          0,           0,         171,      -6.682005476,      -5.526126488,      -6.152975599,      -4.885269179,      -12.20318205
          0,           0,         172,      -6.706310126,      -5.532832621,      -6.202234889,      -4.907289335,      -12.18331668
          0,           0,         173,      -6.723719056,      -5.539772363,       -6.25412024,      -4.921819859,      -12.16281025
          0,           0,         174,      -6.743977699,       -5.54692934,      -6.296494883,       -4.93958689,      -12.14130791
          0,           0,         175,      -6.776554114,      -5.554895357,      -6.315699549,       -4.97084358,      -12.12150674
          0,           0,         176,      -6.786299864,      -5.556938628,      -6.382098372,      -4.978722813,      -12.11900672
          0,           0,         177,      -6.799594486,      -5.560326564,       -6.40466394,      -4.994171369,      -12.11627757
          0,           0,         178,      -6.806422841,      -5.562240521,      -6.418990792,      -5.001237228,      -12.11329991
          0,           0,         179,      -6.811077578,       -5.56371686,      -6.425166226,      -5.005773654,      -12.11002562
          0,           0,         180,      -6.816016727,      -5.565281304,      -6.429162699,      -5.010914184,      -12.10641054
          0,           0,         181,      -6.822062193,      -5.567037244,      -6.433018394,      -5.017370764,      -12.10241706
          0,           0,         182,      -6.829175372,      -5.568929141,      -6.435647632,      -5.024847713,      -12.09800747
          0,           0,         183,      -6.837192908,      -5.570938321,      -6.436504451,      -5.033158992,       -12.0931388
          0,           0,         184,      -6.846217453,      -5.573098346,      -6.435941651,      -5.042529272,      -12.08776199
          0,           0,         185,      -6.856487205,      -5.575441711,      -6.434507601,      -5.053278103,       -12.0818227
          0,           0,         186,      -6.868231906,      -5.577985052,      -6.432525543,      -5.065642793,      -12.07525966
          0,           0,         187,      -6.881625402,      -5.580745228,      -6.430312193,       -5.07977918,      -12.06800399
          0,           0,         188,      -6.896767385,      -5.583748116,      -6.428361642,      -5.095758334,      -12.05998078
          0,           0,         189,      -6.913587791,      -5.587024618,      -6.427336646,      -5.113448815,      -12.05110645
          0,           0,         190,      -6.931689343,      -5.590605097,      -6.427983548,      -5.132337466,      -12.04128595
          0,           0,         191,      -6.950228733,      -5.594516659,      -6.430999138,      -5.151404984,      -12.03041096
          0,           0,         192,      -6.967941997,       -5.59878203,      -6.436866017,       -5.16917235,      -12.01836113
          0,           0,         193,      -6.983433235,       -5.60341843,      -6.445693758,      -5.184057891,      -12.00500544
          0,           0,         194,      -6.995813356,      -5.608435139,      -6.457031421,      -5.195127636,       -11.9901911
          0,           0,         195,      -7.005501987,       -5.61382976,      -6.469619075,      -5.202978403,      -11.97374475
          0,           0,         196,      -7.014647013,      -5.619584838,      -6.481266961,      -5.210111064,      -11.95546558
          0,           0,         197,      -7.026714426,      -5.625667425,      -6.489341175,      -5.220362955,      -11.93513005
          0,           0,         198,      -7.045355045,      -5.632034753,      -6.492134818,      -5.237638724,      -11.91247743
          0,           0,         199,      -7.072889806,      -5.638647429,      -6.490330441,      -5.264358316,      -11.89001481
          0,           0,         200,      -7.090831692,      -5.640596658,      -6.535450238,      -5.281988947,       -11.8874875
          0,           0,         201,      -7.113724298,      -5.642512123,      -6.551961553,      -5.306643246,      -11.88471665
          0,           0,         202,      -7.125528738,      -5.643699678,      -6.563859503,      -5.317613329,      -11.88167848
          0,           0,         203,      -7.131039867,       -5.64467674,      -6.570803576,      -5.322116145,      -11.87833707
          0,           0,         204,      -7.135635262,      -5.645763453,      -6.574411175,      -5.326607129,      -11.87465494
          0,           0,         205,      -7.141404865,      -5.647023214,      -6.576658362,      -5.332860041,      -11.87059483
          0,           0,         206,      -7.148323772,      -5.648402051,      -6.578106992,      -5.340238192,      -11.86611836
          0,           0,         207,      -7.155897259,       -5.64986011,      -6.578774904,      -5.348046925,      -11.86118298
          0,           0,         208,      -7.164000677,       -5.65139991,      -6.578811298,      -5.356287996,      -11.85574075
          0,           0,         209,      -7.172718303,      -5.653036526,      -6.578540368,      -5.365156968,      -11.84973809
          0,           0,         210,        -7.1821021,      -5.654779095,      -6.578226092,      -5.374697003,       -11.8431159
          0,           0,         211,      -7.192076844,      -5.656634573,      -6.578147701,      -5.384794522,        -11.835808
          0,           0,         212,      -7.202481153,      -5.658613279,      -6.578645127,      -5.395281705,      -11.82774038
          0,           0,         213,      -7.213111528,      -5.660727696,       -6.57999628,      -5.405963302,      -11.81883088
          0,           0,         214,      -7.223673183,      -5.662991011,      -6.582351952,      -5.416540342,      -11.80898819
          0,           0,         215,      -7.233686386,      -5.665419148,      -6.585817544,      -5.426513967,      -11.79810981
          0,           0,         216,      -7.242485516,      -5.668033839,      -6.590520968,      -5.435190989,      -11.78608133
          0,           0,         217,      -7.249387977,      -5.670864303,      -6.596547507,      -5.441863086,      -11.77277526
          0,           0,         218,      -7.254025964,      -5.673947485,      -6.603762197,       -5.44616544,      -11.75804799
          0,           0,         219,      -7.256723686,        -5.6773279,      -6.611611022,      -5.448486491,      -11.74173968
          0,           0,         220,       -7.25868013,      -5.681057326,      -6.619033323,      -5.450151421,      -11.72367046
          0,           0,         221,      -7.261760764,      -5.685193491,      -6.624626649,      -5.453169815,      -11.70363735
          0,           0,         222,      -7.267922494,      -5.689796827,       -6.62711286,      -5.459604845,      -11.68141347
          0,           0,         223,       -7.27843957,      -5.694924972,      -6.625930238,      -5.470763408,       -11.6567426
          0,           0,         224,      -7.293059408,      -5.700625289,      -6.621559793,      -5.486327843,      -11.63145956
          0,           0,         225,      -7.324362413,      -5.702303223,      -6.658924044,      -5.519557397,      -11.62875446
          0,           0,         226,      -7.363789751,        -5.7036405,      -6.675767797,      -5.559727405,      -11.62578429
          0,           0,         227,      -7.385947203,      -5.704522195,      -6.689022653,       -5.57879885,      -11.62252064
          0,           0,         228,      -7.393744564,      -5.705294221,      -6.698639164,      -5.583942368,      -11.61892872
          0,           0,         229,      -7.397525508,      -5.706188878,       -6.70426201,      -5.587337852,      -11.61497185
          0,           0,         230,      -7.402091752,      -5.707253991,      -6.707500965,      -5.592901139,       -11.6106121
          0,           0,         231,      -7.407881474,      -5.708451376,      -6.709748269,       -5.59976995,      -11.60580837
          0,           0,         232,      -7.414143326,      -5.709753342,      -6.711469114,      -5.606696823,      -11.60051505
          0,           0,         233,      -7.420567352,        -5.7111653,      -6.712765791,      -5.613530366,      -11.59468143
          0,           0,         234,      -7.427232051,      -5.712703983,      -6.713684971,      -5.620566163,      -11.58825122
          0,           0,         235,       -7.43423641,      -5.714381352,      -6.714176231,      -5.627952039,      -11.58116216
          0,           0,         236,      -7.441494788,      -5.716206002,      -6.714202834,      -5.635586681,      -11.57334498
          0,           0,         237,      -7.448743546,      -5.718188811,      -6.713819143,      -5.643203711,      -11.56472275
          0,           0,         238,      -7.455657388,      -5.720343818,      -6.713123124,      -5.650457572,      -11.55521033
          0,           0,         239,      -7.461933622,      -5.722686197,       -6.71222975,      -5.656979011,      -11.54471289
          0,           0,         240,      -7.467311066,       -5.72523081,      -6.711288212,      -5.662425771,      -11.53312459
          0,           0,         241,       -7.47159277,      -5.727991986,      -6.710426817,      -5.666561278,      -11.52032772
          0,           0,         242,      -7.474654015,      -5.730983975,      -6.709650822,      -5.669291754,      -11.50619107
          0,           0,         243,      -7.476438036,      -5.734221127,      -6.708804216,      -5.670649353,      -11.49056801
          0,           0,         244,      -7.477019571,      -5.737717331,      -6.707614989,      -5.670819183,      -11.47329518
          0,           0,         245,      -7.476709101,       -5.74148537,      -6.705775029,      -5.670212456,      -11.45418959
          0,           0,         246,      -7.476029815,       -5.74553703,      -6.703023344,      -5.669433328,      -11.43304653
          0,           0,         247,      -7.475443447,      -5.749884364,      -6.699228202,      -5.669006101,      -11.40963628
          0,           0,         248,      -7.474896246,      -5.754542431,      -6.694444902,       -5.66891587,      -11.38370103
          0,           0,         249,      -7.473459384,       -5.75953341,      -6.688892624,      -5.668231252,       -11.3566378
          0,           0,         250,      -7.520702966,       -5.76098223,      -6.717234685,      -5.719627912,      -11.35381637
          0,           0,         251,      -7.583392169,      -5.762029045,      -6.732047129,       -5.78086936,      -11.35071654
          0,           0,         252,       -7.62280304,      -5.762732483,      -6.744325902,      -5.812157515,      -11.34730833
          0,           0,         253,      -7.633230637,      -5.763357398,      -6.754579462,      -5.816213846,      -11.34355712
          0,           0,         254,      -7.633504494,        -5.7640924,      -6.761333148,      -5.815391855,      -11.33942606
          0,           0,         255,      -7.634173753,       -5.76497617,      -6.765223995,      -5.817785782,      -11.33487598
          0,           0,         256,      -7.636752229,      -5.765972888,      -6.767619456,      -5.822217698,      -11.32986418
          0,           0,         257,      -7.639982617,      -5.767053347,      -6.769280221,      -5.826499898,       -11.3243434
          0,           0,         258,      -7.643059632,      -5.768217284,      -6.770486536,      -5.830147031,      -11.31826129
          0,           0,         259,      -7.645861139,      -5.769477232,       -6.77134748,      -5.833475212,      -11.31155989
          0,           0,         260,      -7.648390911,      -5.770844442,      -6.771897025,      -5.836604342,      -11.30417495
          0,           0,         261,      -7.650456888,      -5.772328214,      -6.772215987,      -5.839321623,      -11.29603527
          0,           0,         262,      -7.651665471,      -5.773939241,      -6.772435428,      -5.841249948,      -11.28706205
