"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         138,      -5.193269621,       -4.76643033,      -4.638670301,      -3.730656873,      -7.976900414,      -1.441570454
          0,           0,         139,      -5.183632592,      -4.768232614,      -4.655989853,      -3.719751323,      -7.988197206,      -1.444995306
          0,           0,         140,      -5.173615294,      -4.767174997,      -4.672981898,      -3.708847474,      -8.000116631,       -1.44968391
          0,           0,         141,      -5.164204695,      -4.763309247,      -4.688368909,      -3.698950116,      -8.011664119,      -1.449797646
          0,           0,         142,      -5.156159214,      -4.756922956,      -4.700911348,      -3.690816829,      -8.021671087,      -1.450919493
          0,           0,         143,      -5.150004241,      -4.748533822,      -4.709658209,      -3.684959866,       -8.02901222,      -1.448588337
          0,           0,         144,      -5.146070699,      -4.738827569,      -4.714158375,       -3.68168605,      -8.032865062,      -1.445878022
          0,           0,         145,      -5.144529823,      -4.728516189,       -4.71464419,      -3.681138142,      -8.032915459,      -1.442320437
          0,           0,         146,      -5.145411826,      -4.718318508,      -4.711992231,      -3.683312112,      -8.029433559,      -1.438070849
          0,           0,         147,      -5.148620535,      -4.708876093,      -4.707517985,      -3.688068375,       -8.02318882,      -1.435508922
          0,           0,         148,      -5.153963788,      -4.700771964,      -4.702693359,      -3.695162329,      -8.015274613,      -1.435375351
          0,           0,         149,      -5.161157779,      -4.694508303,      -4.698892619,      -3.704241977,      -8.006913196,      -1.433234538
          0,           0,         150,      -5.169831097,      -4.690463015,      -4.697246613,      -3.714849332,      -7.999309093,      -1.428810722
          0,           0,         151,      -5.179565666,      -4.688947002,      -4.698534792,      -3.726461196,      -7.993572571,      -1.422774621
          0,           0,         152,      -5.189914407,      -4.690160587,       -4.70314546,      -3.738514563,       -7.99068986,      -1.416840165
          0,           0,         153,       -5.20042557,      -4.694181095,      -4.711040217,      -3.750442869,      -7.991512942,      -1.409268303
