"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       
         97,           0,         102,        -8.0123089,      -6.508225253,       -7.22152377,      -8.074293398,       -3.88762902,     0.02257241334,       1.254517548
         98,           0,         102,      -8.002566269,      -6.552190706,      -7.272740658,       -8.10322251,      -3.892695139,     0.02258433546,       1.254134444
         99,           0,         104,      -8.004425759,      -6.609977132,      -7.382106919,      -8.161966692,      -3.896945755,     0.02260156996,       1.253788191
        100,           0,         106,      -8.007346067,       -6.67554379,       -7.48792393,      -8.245546522,      -3.901989858,     0.02262377101,       1.253470811
        101,           0,         106,      -8.001597562,      -6.733321051,      -7.547486666,      -8.339076599,      -3.904971525,     0.02265391615,       1.253173266
        102,           0,         106,      -8.003353582,      -6.800890981,      -7.591107945,      -8.445514543,      -3.909026845,     0.02267865054,       1.252849299
        103,           0,         104,      -8.001400842,      -6.840387814,      -7.579942024,      -8.523645723,      -3.910958745,     0.02270167199,       1.252511388
        104,           0,         101,      -8.002834147,      -6.852709993,      -7.538456892,       -8.55775333,      -3.915219894,     0.02272518328,       1.252175163
        105,           0,          97,      -8.008527092,      -6.839436972,      -7.488187722,      -8.552814454,      -3.924734131,     0.02274754793,       1.251856816
        106,           0,          91,      -8.001902163,      -6.798959178,      -7.449114544,      -8.523507034,      -3.941960184,     0.02276182944,       1.251556816
        107,           0,          83,      -8.008406775,      -6.731627661,       -7.38773559,      -8.484845339,      -3.957568122,     0.02275790354,       1.251271446
        108,           0,          76,      -8.001727188,      -6.672111339,      -7.298353335,      -8.464045534,      -3.960337711,     0.02276380339,       1.251064661
        109,           0,          73,      -8.024156486,      -6.652912053,      -7.262211649,      -8.480570772,      -3.961686967,     0.02279543915,       1.250925423
        110,           0,          71,      -8.007403203,      -6.639844943,      -7.218382318,      -8.507211597,      -3.960140306,     0.02282729835,        1.25077766
        111,           0,          73,      -8.012034002,       -6.67405035,      -7.316817322,      -8.558993616,      -3.961093326,     0.02284571324,       1.250551696
        112,           0,          74,      -8.012643786,      -6.696943333,      -7.379491044,      -8.600942775,      -3.963727933,     0.02284618021,       1.250268441
        113,           0,          72,      -8.006838471,      -6.692308008,      -7.371725098,      -8.627150274,      -3.965131368,     0.02284428353,       1.249985878
        114,           0,          69,      -8.003829442,      -6.683489503,      -7.359694189,      -8.650397657,      -3.963771614,     0.02285613109,       1.249763884
        115,           0,          66,      -8.005565248,       -6.68074463,      -7.367337131,      -8.674080206,      -3.960673968,     0.02287851343,       1.249592447
        116,           0,          64,      -8.006884885,      -6.693625467,      -7.410875809,      -8.701760736,      -3.959006324,     0.02290196282,       1.249443589
        117,           0,          63,      -8.003729101,      -6.718101501,      -7.438240377,      -8.732515167,      -3.960419753,     0.02292072396,       1.249296386
        118,           0,          63,      -8.009826577,      -6.745491752,      -7.407846879,      -8.766055626,      -3.963434329,     0.02293856788,       1.249159019
        119,           0,          61,       -8.00292149,      -6.748711816,      -7.353104298,      -8.788855346,      -3.964825304,     0.02295887217,       1.249047784
        120,           0,          59,      -8.010813679,      -6.749488954,      -7.314383187,      -8.810667515,      -3.965676327,     0.02298334772,       1.248946197
        121,           0,          54,      -8.006869098,      -6.719356366,      -7.253805351,      -8.817177706,      -3.967053728,     0.02300489351,       1.248843775
        122,           0,          48,      -8.008802415,      -6.674645241,      -7.230052222,      -8.817791918,      -3.972410468,       0.023020095,        1.24872331
        123,           0,          39,      -8.011246582,      -6.570494363,      -7.172445393,      -8.800487881,      -3.975865593,     0.02303324793,       1.248628029
        124,           0,          33,      -8.017584147,      -6.493953762,      -7.007396451,      -8.791014096,      -3.972870324,     0.02304568066,       1.248565014
        125,           0,          30,      -8.035006531,      -6.453500749,      -6.948011625,      -8.790188232,      -3.975814411,     0.02305416913,       1.248495197
        126,           0,          29,      -8.027814179,      -6.444826683,      -6.941954664,      -8.796764821,      -3.975278415,     0.02306635537,       1.248437094
        127,           0,          30,      -8.008237777,        -6.4742446,      -7.007043634,      -8.813419537,      -3.976410779,     0.02307973492,       1.248386198
        128,           0,          42,      -8.003587865,      -6.676518704,      -7.312183613,      -8.883020619,      -3.977063816,     0.02309851944,       1.248319392
        129,           0,          45,      -8.002498412,      -6.715292517,      -7.329692355,      -8.898499295,      -3.978302562,     0.02311018234,       1.248240921
        130,           0,          45,      -8.005127971,      -6.725860313,      -7.360798894,      -8.907716764,      -3.981059483,     0.02311031979,       1.248126809
        131,           0,          44,      -8.003565253,      -6.729008058,      -7.403004726,      -8.914935767,      -3.982856673,     0.02311027339,       1.247983431
        132,           0,          40,      -8.000278805,      -6.701201156,      -7.431808661,      -8.908537605,      -3.981525529,     0.02311556687,       1.247850883
        133,           0,          16,      -8.002745728,       -6.35897272,      -6.876856321,      -8.731212122,      -3.966465494,     0.02311675571,       1.247800529
        134,           0,          19,       -8.00568304,      -6.473306646,      -7.056910677,      -8.805133673,      -3.973582272,     0.02312072831,       1.247738519
        135,           0,          16,      -8.003980411,      -6.424981713,      -6.976957385,      -8.773805606,      -3.967054453,     0.02312238646,        1.24767991
        136,           0,          16,      -8.002991128,      -6.436677112,      -6.995791723,      -8.784094095,      -3.966298057,     0.02312372833,         1.2476189
        137,           0,          26,      -8.003107382,      -6.602262783,      -7.342035557,      -8.884823043,       -3.97567036,      0.0231323421,       1.247499477
        138,           0,          13,      -8.001374322,      -6.370292271,      -6.863484751,      -8.739781446,      -3.948911171,     0.02313673815,       1.247428417
        139,           0,          24,      -8.000066779,      -6.589910658,      -7.290395634,      -8.882802416,      -3.968274142,     0.02314374534,       1.247282023
        140,           0,          10,       -8.01231071,      -6.321918929,      -6.732683184,      -8.705114375,      -3.907233803,     0.02314405441,       1.247216659
        141,           0,          21,      -8.001991318,      -6.564425235,       -7.22089293,       -8.87204225,      -3.958883831,     0.02313652723,        1.24706881
        142,           0,          10,       -8.02300305,      -6.342388438,      -6.761170278,      -8.722905735,      -3.906932592,     0.02313078819,       1.246999191
        143,           0,          24,      -8.000878676,      -6.621800874,      -7.348693774,      -8.903595031,      -3.962460526,     0.02311360671,       1.246845658
        144,           0,          10,      -8.020545545,      -6.355983221,      -6.789930271,      -8.730161345,      -3.912689555,      0.0231070194,       1.246796109
        145,           0,          10,      -8.001676908,      -6.395108823,       -6.83189284,      -8.758620061,       -3.91921233,     0.02310169813,       1.246757226
        146,           0,          10,      -8.003149352,      -6.407274062,      -6.860456322,      -8.766005369,      -3.922941547,     0.02309760142,       1.246728183
        147,           0,          10,      -8.023014192,      -6.415939291,      -6.883952313,      -8.770682083,      -3.926117692,     0.02309468716,       1.246707879
        148,           0,          10,      -8.039864217,      -6.423942007,      -6.903068547,      -8.774900514,      -3.929310229,     0.02309298161,       1.246696816
        149,           0,          10,      -8.045979166,       -6.43174607,      -6.920336882,      -8.779013284,      -3.932549604,     0.02309249982,       1.246695427
        150,           0,          10,      -8.046518657,      -6.439424076,      -6.935304816,      -8.783069736,      -3.935779149,     0.02309358675,       1.246704068
        151,           0,          10,      -8.051660832,      -6.446913902,      -6.949160492,      -8.787074457,      -3.939148675,     0.02309683071,       1.246724697
        152,           0,          10,      -8.059260168,      -6.454187697,      -6.962071288,      -8.791035161,      -3.943029541,     0.02310259165,       1.246759603
        153,           0,          10,      -8.062398624,       -6.46120923,      -6.973216333,      -8.794961798,      -3.947444643,      0.0231108518,        1.24680969
        154,           0,          10,      -8.061427989,      -6.467966605,      -6.982187271,      -8.798858792,        -3.9520872,     0.02312159117,       1.246874888
        155,           0,          10,      -8.061159167,      -6.474475751,       -6.98928748,      -8.802702182,       -3.95688875,     0.02313504597,       1.246954287
        156,           0,          10,      -8.064053289,      -6.480732917,      -6.995286655,      -8.806481786,      -3.961620783,     0.02315143307,       1.247045488
        157,           0,          10,      -8.067642782,      -6.486765816,      -7.001165468,      -8.810195584,      -3.966020675,     0.02317064588,       1.247144628
        158,           0,          10,      -8.067005268,      -6.492679656,      -7.007339974,      -8.813861406,      -3.969945386,     0.02319226015,       1.247246925
        159,           0,          10,      -8.061304537,      -6.498584988,      -7.013625559,      -8.817473349,      -3.973000606,     0.02321551033,       1.247346545
        160,           0,          10,      -8.056665638,      -6.504536011,      -7.019750846,      -8.821032104,      -3.974623872,     0.02323920081,       1.247436681
        161,           0,          10,       -8.06021561,      -6.510490775,      -7.025622351,      -8.824541939,      -3.975088659,     0.02326194897,       1.247511395
        162,           0,          10,      -8.073715587,      -6.516336039,      -7.031518498,      -8.828010603,      -3.975395446,     0.02328267988,       1.247567642
        163,           0,          10,      -8.093611813,      -6.521962431,      -7.037835967,      -8.831449617,      -3.976101093,     0.02330096292,       1.247605453
        164,           0,          10,        -8.1158221,      -6.527341803,      -7.044838421,      -8.834866813,      -3.977094147,     0.02331707072,       1.247626976
        165,           0,          10,      -8.138229597,      -6.532518588,      -7.052538644,      -8.838249134,      -3.977815105,     0.02333173823,       1.247635341
        166,           0,          10,      -8.159341962,      -6.537597052,      -7.060894825,      -8.841604221,       -3.97733826,     0.02334562937,       1.247633112
        167,           0,          10,      -8.177190376,      -6.542684073,      -7.069776296,      -8.844921881,       -3.97480632,     0.02335881221,       1.247620909
        168,           0,          10,      -8.191890176,      -6.547832969,      -7.078948186,      -8.848186346,      -3.969565727,     0.02337056465,       1.247597178
        169,           0,          10,      -8.206684257,      -6.553039365,      -7.088153907,      -8.851358914,      -3.961328451,     0.02337955403,       1.247559159
        170,           0,          10,      -8.224306421,      -6.558267028,      -7.097234322,       -8.85445653,      -3.950890343,     0.02338428928,       1.247504533
        171,           0,          10,      -8.244353917,      -6.563467577,      -7.106128647,      -8.857488002,      -3.940671031,     0.02338372243,       1.247433215
        172,           0,          10,      -8.264580074,      -6.568597334,      -7.114833287,      -8.860457799,       -3.93372449,     0.02337778751,       1.247348505
        173,           0,          10,      -8.282817049,      -6.573629027,      -7.123360913,      -8.863370845,      -3.932077024,     0.02336759634,       1.247256775
        174,           0,          10,      -8.296955062,      -6.578557412,      -7.131695375,      -8.866217345,      -3.935378529,      0.0233551078,       1.247165602
        175,           0,          10,      -8.305020218,      -6.583394841,      -7.139825547,      -8.869014639,      -3.941394502,     0.02334237877,       1.247081165
        176,           0,          10,      -8.306734788,        -6.5881586,      -7.147793859,      -8.871770686,      -3.947560448,      0.0233308079,       1.247006313
        177,           0,          10,      -8.304464897,      -6.592857714,      -7.155618747,      -8.874487687,       -3.95247926,      0.0233207997,       1.246940357
        178,           0,          10,      -8.302161548,      -6.597487554,      -7.163166699,      -8.877166103,      -3.956251948,     0.02331194394,       1.246880427
        179,           0,          10,      -8.303824127,      -6.602031952,      -7.170272339,       -8.87980853,      -3.959777593,     0.02330345754,       1.246823292
        180,           0,          10,      -8.312171466,      -6.606474851,      -7.176879759,      -8.882411856,      -3.963791118,     0.02329458855,       1.246766533
        181,           0,          10,      -8.327401138,      -6.610804123,      -7.183086287,      -8.884971732,      -3.968689244,     0.02328485623,       1.246708784
        182,           0,          10,      -8.346557082,      -6.615016119,      -7.189108459,      -8.887486743,      -3.974192997,     0.02327413278,       1.246649294
        183,           0,          10,      -8.365158134,       -6.61910866,      -7.195189048,      -8.889938224,      -3.979854644,     0.02326258298,       1.246587213
        184,           0,          10,      -8.380510138,      -6.623087302,      -7.201467042,      -8.892338449,      -3.985178951,     0.02325047429,       1.246521009
        185,           0,          10,      -8.393129256,      -6.626970471,      -7.207942664,      -8.894691163,        -3.9897606,      0.0232379312,       1.246448357
        186,           0,          10,      -8.404596896,      -6.630795633,      -7.214569362,      -8.896995972,      -3.993341021,     0.02322478048,       1.246366613
        187,           0,          10,      -8.414605638,       -6.63460493,      -7.221416478,      -8.899247977,      -3.995850751,     0.02321061955,       1.246273738
